Gesture_record,Body_part,Contact_recipient,Lateral_use,Repetition,Recording_number
Bite,Mouth,TorsoFront,NA,NA,R201596
HitObject,Hand,NA,Bimanual,Singular,R201185
HitObject,Hand,NA,Bimanual,Repeated,R201186
Present,Back,NA,NA,NA,R200354
Touch,Hand,TorsoBack,NA,NA,R201642
Grab,Hand,TorsoBack,Unimanual,NA,R201643
HitRecipient,Hand,TorsoFront,Bimanual,Repeated,R201589
Stroke,Fingers,TorsoFront,Unimanual,NA,R201590
Beckon,Arm,NA,NA,NA,R201191
StompObject,Fist,NA,Unimanual,Singular,R201212
StompObject,Foot,NA,Unimanual,Singular,R201192
GrabHold,Hand,TorsoBack,Unimanual,NA,R201396
Grab,Hand,TorsoBack,Unimanual,NA,R201397
GrabHold,Hand,TorsoBack,Unimanual,NA,R200451
Push,Hand,Extremity,Unimanual,NA,R200784
Reach,Hand,NA,NA,NA,R200461
Touch,Knuckles,Extremity,NA,NA,R200462
Touch,Foot,Extremity,NA,NA,R200463
Grab,Hand,Extremity,Unimanual,NA,R200464
LocomoteBipedal,Body,NA,NA,NA,R201434
HitObject,Hand,NA,Unimanual,Singular,R201436
StiffStance,Body,NA,NA,NA,R201437
StanceBipedal,Body,NA,NA,NA,R201438
SpinPirouette,Body,NA,NA,Singular,R201439
Raise,Arm,NA,NA,NA,R201435
Push,Hand,Extremity,Unimanual,NA,R200001
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201432
StiffStance,Body,NA,NA,NA,R201433
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200385
Push,Fingers,Extremity,Unimanual,NA,R200518
HitRecipient,Hand,TorsoBack,Unimanual,Singular,R200751
Push,Unclear,Unclear,Unimanual,NA,R200752
HitObject,HandFoot,NA,Bimanual,Repeated,R200008
LeanIn,Body,TorsoBack,NA,NA,R201640
Reach,Hand,NA,NA,NA,R203293
Touch,Knuckles,Extremity,NA,NA,R203294
GrabHold,Hand,Extremity,Unimanual,NA,R201592
Grab,Hand,Extremity,Unimanual,NA,R201461
Reach,Hand,NA,NA,NA,R201403
Touch,Leg,TorsoBack,NA,NA,R201398
Grab,Hand,TorsoBack,Unimanual,NA,R200264
Reach,Hand,NA,NA,NA,R200284
Raise,Hand,NA,NA,NA,R203094
Reach,Hand,NA,NA,NA,R203095
Raise,Hand,NA,NA,NA,R203096
Touch,Arm,TorsoFront,NA,NA,R203097
Present,Body,NA,NA,NA,R201593
Raise,Hand,NA,NA,NA,R201187
GrabHold,Hand,TorsoBack,Unimanual,NA,R200753
Embrace,Arm,TorsoBack,Unimanual,NA,R201168
ChestBeat,Hand,NA,Bimanual,Repeated,R200723
LocomoteStiffWalk,Body,NA,NA,NA,R200674
JabAt,Foot,NA,NA,NA,R200672
HitRecipient,Foot,Head,Unimanual,Singular,R200551
Jab,Foot,Head,NA,NA,R200673
Grab,Hand,Head,Unimanual,NA,R201440
Grab,Hand,Extremity,Unimanual,NA,R201441
BiteThreat,Mouth,NA,NA,NA,R201442
ObjectMove,Hand,NA,Unclear,NA,R201470
Grab,Hand,Extremity,Unimanual,NA,R200446
Grab,Hand,Extremity,Unimanual,NA,R200447
Present,Arm,NA,NA,NA,R201374
Fling,Arm,NA,Unimanual,NA,R200452
Push,Knuckles,Head,Unimanual,NA,R201637
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201362
Push,Hand,Head,Unimanual,NA,R201203
Push,Hand,TorsoBack,Unimanual,NA,R201204
Raise,Hand,NA,NA,NA,R200469
Grab,Hand,TorsoBack,Unimanual,NA,R200470
Grab,Hand,TorsoBack,Unimanual,NA,R200471
HitRecipientSoft,Fingers,Head,Unimanual,Repeated,R203297
Touch,Fingers,Head,NA,NA,R201612
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201565
GazeStance,Body,NA,NA,NA,R201566
Touch,Hand,TorsoBack,NA,NA,R200513
Reach,Hand,NA,NA,NA,R200514
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200374
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200375
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200376
RollOver,Body,NA,NA,NA,R200372
Touch,Fingers,Extremity,NA,NA,R200390
Touch,Knuckles,Extremity,NA,NA,R200377
Stroke,Hand,Extremity,Unimanual,NA,R200391
Stroke,Fingers,Extremity,Unimanual,NA,R200378
HitRecipient,Hand,TorsoFront,Unimanual,Singular,R200379
HitRecipient,Hand,TorsoFront,Unimanual,Singular,R200380
HitRecipient,Hand,TorsoFront,Unimanual,Singular,R200381
Push,Arm,Head,Unimanual,NA,R201647
HitObject,Hand,NA,Bimanual,Repeated,R201533
LocomoteStiffRun,Body,NA,NA,NA,R201183
StiffStance,Body,NA,NA,NA,R201184
HitObject,Hand,NA,Unclear,Repeated,R201529
ObjectMove,Hand,NA,Unimanual,NA,R201701
Push,Hand,Head,Unimanual,NA,R201646
HitObject,Hand,NA,Bimanual,Repeated,R201534
HitObject,Hand,NA,Bimanual,Repeated,R201974
Push,Hand,Head,Unimanual,NA,R200382
Pull,Hand,Head,Unimanual,NA,R201376
Pull,Hand,TorsoBack,Unimanual,NA,R201378
Push,Hand,TorsoBack,Unimanual,NA,R201377
Present,BodyChest,NA,NA,NA,R200783
LeanIn,BodyChest,TorsoBack,NA,NA,R201416
HitObject,Hand,NA,Bimanual,Singular,R201635
Lunge,Body,NA,NA,NA,R201634
OverStance,Body,NA,NA,NA,R201703
Raise,Hand,NA,NA,NA,R201481
LeanIn,Body,TorsoBack,NA,NA,R201613
TouchLong,Fist,Extremity,NA,NA,R203298
Embrace,Arm,TorsoBack,Unimanual,NA,R203299
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200254
HitRecipient,Hand,Extremity,Bimanual,Singular,R200255
Push,Fingers,Unclear,Unimanual,NA,R200068
Push,Hand,Head,Unimanual,NA,R200069
HitRecipientSoft,Hand,TorsoBack,Bimanual,Repeated,R201465
Reach,Hand,NA,NA,NA,R200448
Touch,Foot,Extremity,NA,NA,R200449
Push,Knuckles,Head,Unimanual,NA,R201619
LocomoteStiffRun,Body,NA,NA,NA,R201224
Push,Arm,TorsoBack,Unimanual,NA,R201225
ObjectMouth,Mouth,NA,NA,NA,R203363
OverStance,Arm,NA,NA,NA,R201989
ObjectMove,Hand,NA,Unimanual,NA,R201968
LocomoteStiffRun,Body,NA,NA,NA,R200509
Beckon,Arm,NA,NA,NA,R201557
Beckon,Arm,NA,NA,NA,R201558
Push,Fingers,Head,Unimanual,NA,R201195
Push,Arm,Head,Unimanual,NA,R201196
Push,Hand,Extremity,Unimanual,NA,R201373
LocomoteStiffRun,Body,NA,NA,NA,R201179
HitObject,Hand,NA,Bimanual,Repeated,R201524
ObjectShake,Hand,NA,Bimanual,Singular,R201525
ObjectShake,Hand,NA,Bimanual,Singular,R201526
HitObject,Hand,NA,Bimanual,Repeated,R201527
Pull,Hand,TorsoBack,Unimanual,NA,R201528
HitObject,HandFoot,NA,Unimanual,Repeated,R201709
HitObject,HandFoot,NA,Bimanual,Repeated,R201710
ObjectShake,Hand,NA,Unimanual,Repeated,R201711
Pull,Hand,Extremity,Unimanual,NA,R200663
Push,Arm,TorsoBack,Unimanual,NA,R201280
Push,Fingers,Head,Unimanual,NA,R201281
Push,Arm,Extremity,Unimanual,NA,R200383
Push,Arm,Extremity,Unimanual,NA,R200384
TouchLong,Knuckles,Extremity,NA,NA,R201375
Reach,Hand,NA,NA,NA,R201704
ChestBeat,Hand,NA,Bimanual,Repeated,R203354
Grab,Fingers,Head,Unimanual,NA,R200256
Grab,Hand,Extremity,Unimanual,NA,R201221
Pull,Hand,Extremity,Unimanual,NA,R201222
Pull,Hand,Extremity,Unimanual,NA,R201223
Push,Fingers,Extremity,Unimanual,NA,R200457
Push,Fingers,Extremity,Unimanual,NA,R200458
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R202826
LeanIn,Body,TorsoFront,NA,NA,R200350
ChestBeat,Hand,NA,Bimanual,Repeated,R201538
Embrace,Arm,TorsoBack,Unimanual,NA,R201405
Push,Hand,Extremity,Unimanual,NA,R201357
Grab,Hand,Extremity,Unimanual,NA,R201550
Push,Back,TorsoFront,NA,NA,R200442
Lunge,Body,NA,NA,NA,R200664
Grab,Hand,TorsoBack,Unimanual,NA,R200550
Pull,Hand,TorsoBack,Unimanual,NA,R200665
Push,Hand,TorsoBack,Unimanual,NA,R200666
HitRecipient,Hand,TorsoBack,Unimanual,Singular,R201969
Push,Hand,Head,Unimanual,NA,R201552
Touch,Hand,TorsoBack,NA,NA,R201174
Push,Hand,Head,Unimanual,NA,R201572
Pull,Hand,Extremity,Unimanual,NA,R201573
Push,Hand,Extremity,Unimanual,NA,R201574
Touch,Knuckles,TorsoBack,NA,NA,R201175
Reach,Hand,NA,NA,NA,R200231
Lunge,Body,NA,NA,NA,R200210
ChestBeat,Hand,NA,Bimanual,Repeated,R200698
Pull,Hand,TorsoBack,Unimanual,NA,R200730
Push,Fingers,Extremity,Unimanual,NA,R201471
HitSelf,Fist,NA,Unimanual,Repeated,R200217
Grab,Fingers,Extremity,Unimanual,NA,R200205
HitObject,Hand,NA,Unclear,Repeated,R200259
HitObject,Hand,NA,Bimanual,Repeated,R200260
Shake,Leg,NA,Unimanual,Repeated,R201198
Dangle,Body,NA,NA,NA,R201200
HitObject,Hand,NA,Unimanual,Repeated,R201199
SpinPirouette,Body,NA,NA,Repeated,R201462
ObjectMove,Hand,NA,Unimanual,NA,R201208
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201578
Reach,Hand,NA,NA,NA,R201579
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201543
ObjectMove,Hand,NA,Unclear,NA,R201544
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201545
HitRecipient,Hand,TorsoBack,Unimanual,Singular,R201546
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201601
ChestBeat,Hand,NA,Bimanual,Repeated,R203355
StiffStance,Body,NA,NA,NA,R203361
LocomoteStiffWalk,Body,NA,NA,NA,R203356
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R203139
ChestBeat,Hand,NA,Bimanual,Repeated,R201404
OverStance,Arm,NA,NA,NA,R200351
SpinRoulade,Body,NA,NA,Singular,R200273
Push,Hand,Head,Unimanual,NA,R200444
Pull,Hand,Extremity,Unimanual,NA,R201356
Grab,Hand,TorsoBack,Unimanual,NA,R201548
LocomoteStiffRun,Body,NA,NA,NA,R200527
Pull,Hand,Extremity,Unimanual,NA,R200506
Pull,Hand,Extremity,Unimanual,NA,R200440
Push,Fingers,TorsoBack,Unimanual,NA,R200441
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201567
Grab,Hand,Extremity,Unimanual,NA,R201553
Grab,Hand,Extremity,Unimanual,NA,R201554
Pull,Hand,TorsoBack,Unimanual,NA,R200388
Swing,Leg,NA,Unimanual,Repeated,R202828
ObjectDrop,Hand,NA,NA,NA,R202829
ObjectMove,Hand,NA,Unimanual,NA,R200229
HitObject,Hand,NA,Bimanual,Singular,R200230
Reach,Hand,NA,NA,NA,R200702
Reach,Hand,NA,NA,NA,R200703
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201636
HitObject,Hand,NA,Bimanual,Repeated,R201686
HitObject,Hand,NA,Bimanual,Repeated,R201687
HitObjectObject,Hand,NA,Unimanual,Singular,R201688
Push,Hand,Head,Unimanual,NA,R201555
HitSelf,Fist,NA,Unimanual,Repeated,R200258
Push,Fingers,Head,Unimanual,NA,R201205
Push,Hand,Head,Unimanual,NA,R201206
ChestBeat,Hand,NA,Bimanual,Repeated,R201576
ChestBeat,Hand,NA,Bimanual,Repeated,R201583
StiffStance,Body,NA,NA,NA,R201584
GrabHold,Hand,TorsoBack,Unimanual,NA,R200253
HitObject,Hand,NA,Unimanual,Singular,R201628
HitObject,Hand,NA,Unimanual,Singular,R201629
HitRecipientSoft,Knuckles,TorsoFront,Unimanual,Singular,R200445
HitRecipientSoft,Fingers,Extremity,Unimanual,Singular,R200428
LocomoteStiffWalk,Body,NA,NA,NA,R203357
GazeStance,Body,NA,NA,NA,R203358
Touch,Hand,TorsoBack,NA,NA,R203359
BodyCross,Arm,NA,NA,NA,R203360
BodyCross,Arm,NA,NA,NA,R203362
Reach,Hand,NA,NA,NA,R200778
Reach,Hand,NA,NA,NA,R200779
HitSelf,Fist,NA,Unimanual,Repeated,R200226
HitSelf,Fist,NA,Unimanual,Repeated,R200227
ChestBeat,Hand,NA,Bimanual,Repeated,R200234
HitRecipientSoft,Fingers,Extremity,Unimanual,Singular,R200429
HitRecipientSoft,Fingers,Extremity,Unimanual,Singular,R200430
StiffStance,Body,NA,NA,NA,R201587
Touch,Hand,TorsoBack,NA,NA,R201971
Embrace,Arm,TorsoBack,Unimanual,NA,R201386
ChestBeat,Hand,NA,Bimanual,Repeated,R201467
Push,Fingers,Head,Unimanual,NA,R201486
Fling,Hand,NA,Unimanual,NA,R200202
HitSelf,Hand,NA,Unimanual,Repeated,R201532
Grab,Hand,TorsoBack,Unimanual,NA,R201591
Touch,Fingers,TorsoBack,NA,NA,R200352
GrabHold,Hand,TorsoBack,Unimanual,NA,R200353
Present,Leg,NA,NA,NA,R200370
Pull,Hand,Unclear,Unimanual,NA,R200371
Touch,Hand,TorsoBack,NA,NA,R201712
HitFake,Hand,NA,Unimanual,Singular,R201588
Push,Fingers,Extremity,Unimanual,NA,R200431
Raise,Hand,NA,NA,NA,R200455
TouchLong,Knuckles,Extremity,NA,NA,R200233
Push,Leg,Extremity,Unimanual,NA,R201393
Push,Leg,Extremity,Unimanual,NA,R201394
Push,Leg,Extremity,Unimanual,NA,R201395
Push,Knuckles,Head,Unimanual,NA,R200225
Push,Fingers,TorsoBack,Unimanual,NA,R200064
Push,Arm,Unclear,Unimanual,NA,R201448
Push,Arm,TorsoBack,Unimanual,NA,R201449
GrabHold,Hand,TorsoBack,Unimanual,NA,R201358
Grab,Hand,TorsoBack,Unimanual,NA,R201359
Bite,Mouth,Head,NA,NA,R201372
Grab,Hand,Extremity,Unimanual,NA,R200435
Touch,Fingers,Extremity,NA,NA,R200436
Stroke,Fingers,Extremity,Unimanual,NA,R200437
StiffStance,Body,NA,NA,NA,R201385
GrabHold,Hand,TorsoBack,Unimanual,NA,R201464
TouchLong,Arm,TorsoBack,NA,NA,R201466
TouchLong,Arm,TorsoBack,NA,NA,R201463
Present,Leg,NA,NA,NA,R200517
Pull,Hand,Extremity,Unimanual,NA,R200368
Touch,Head,Extremity,NA,NA,R200520
Push,Head,Extremity,NA,NA,R200519
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200213
TouchLong,Hand,TorsoBack,NA,NA,R200754
HitTap,Fingers,TorsoBack,Unimanual,Singular,R200755
Touch,Fingers,TorsoBack,NA,NA,R200756
Push,Hand,Extremity,Unimanual,NA,R201283
Push,Hand,Extremity,Unimanual,NA,R201284
Push,Hand,Head,Unimanual,NA,R201267
Stroke,Fingers,Extremity,Unimanual,NA,R200432
Push,Fingers,Extremity,Unimanual,NA,R200433
Grab,Fingers,Extremity,Unimanual,NA,R200434
LocomoteRecipient,Body,NA,NA,NA,R200453
Pull,Hand,TorsoBack,Unimanual,NA,R202844
HitObject,Hand,NA,Unclear,Repeated,R201447
Push,Hand,TorsoBack,Unimanual,NA,R200063
Push,Fingers,Extremity,Unimanual,NA,R200500
GrabHold,Hand,TorsoBack,Unimanual,NA,R201633
Grab,Hand,Extremity,Unimanual,NA,R200270
ChestBeat,Hand,NA,Bimanual,Repeated,R200486
HitRecipient,Hand,TorsoBack,Bimanual,Repeated,R203344
Bite,Mouth,Extremity,NA,NA,R200771
GrabHold,Hand,TorsoBack,Unimanual,NA,R201600
LeanIn,Body,TorsoFront,NA,NA,R202481
Push,Arm,Unclear,Unimanual,NA,R200062
Bite,Mouth,Mouth,NA,NA,R200066
Bite,Mouth,Extremity,NA,NA,R200067
BiteThreat,Mouth,NA,NA,NA,R200248
BiteThreat,Mouth,NA,NA,NA,R200249
BiteThreat,Mouth,NA,NA,NA,R201390
BiteThreat,Mouth,NA,NA,NA,R201391
Grab,Hand,Head,Unimanual,NA,R201392
LocomoteStiffWalk,Body,NA,NA,NA,R200534
StiffStance,Body,NA,NA,NA,R200535
Reach,Hand,NA,NA,NA,R200484
Beckon,Arm,NA,NA,NA,R200485
Pull,Fingers,Head,Unimanual,NA,R200396
HitSelf,Hand,NA,Unimanual,Repeated,R201599
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R203349
Touch,Hand,Unclear,NA,NA,R201234
HitRecipientSoft,Knuckles,TorsoBack,Unimanual,Repeated,R203300
HitRecipientSoft,Knuckles,TorsoBack,Bimanual,Repeated,R203301
HitRecipientSoft,Knuckles,TorsoBack,Bimanual,Repeated,R203302
HitRecipientSoft,Knuckles,TorsoBack,Bimanual,Repeated,R203303
HitRecipientSoft,Knuckles,TorsoBack,Bimanual,Repeated,R203304
HitRecipientSoft,Knuckles,TorsoBack,Bimanual,Repeated,R203305
HitRecipient,Hand,Extremity,Unimanual,Singular,R200494
Pull,Hand,Extremity,Unimanual,NA,R200454
HitRecipientSoft,Fingers,Head,Unimanual,Repeated,R203296
HitNonRecipient,Hand,NA,Bimanual,Repeated,R200473
TouchLong,Hand,Extremity,NA,NA,R200206
GrabHold,Fingers,Extremity,Unimanual,NA,R200207
TouchLong,Knuckles,TorsoFront,NA,NA,R200208
Grab,Fingers,Extremity,Unimanual,NA,R200209
LocomoteStiffRun,Body,NA,NA,NA,R202830
Present,BodyFront,NA,NA,NA,R200525
ObjectShake,Hand,NA,Unimanual,Singular,R201639
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200398
SpinSomersault,Body,NA,NA,Singular,R200399
Present,Body,NA,NA,NA,R200443
HitSelf,Fist,NA,Unimanual,Repeated,R200271
Dangle,Body,NA,NA,NA,R200272
Present,Arm,NA,NA,NA,R200456
Push,Hand,TorsoBack,Unimanual,NA,R201427
Embrace,Arm,TorsoBack,Unimanual,NA,R200241
Embrace,Arm,TorsoBack,Unimanual,NA,R200243
TouchLong,Hand,TorsoBack,NA,NA,R200242
Touch,Hand,Unclear,NA,NA,R200693
Fling,Arm,NA,Bimanual,NA,R200692
Reach,Hand,NA,NA,NA,R201623
Grab,Hand,Extremity,Unimanual,NA,R201624
GrabHold,Hand,Extremity,Unimanual,NA,R201625
Raise,Hand,NA,NA,NA,R200656
