Gesture_record,Morph,Recording_number,Body_part,Contact_recipient,Lateral_use,Repetition
Gesture_record_73,Morph_91,Recording_number_489,Body_part_16,NA,Lateral_use_1,NA
Gesture_record_27,Morph_13,Recording_number_2970,Body_part_12,NA,NA,NA
Gesture_record_36,Morph_53,Recording_number_2742,Body_part_12,NA,NA,NA
Gesture_record_68,Morph_54,Recording_number_2004,Body_part_16,NA,NA,NA
Gesture_record_65,Morph_2,Recording_number_1591,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_36,Morph_53,Recording_number_3071,Body_part_12,NA,NA,NA
Gesture_record_31,Morph_83,Recording_number_1850,Body_part_12,NA,NA,NA
Gesture_record_41,Morph_32,Recording_number_1709,Body_part_16,Contact_recipient_6,NA,NA
Gesture_record_45,Morph_80,Recording_number_1231,Body_part_16,Contact_recipient_6,NA,NA
Gesture_record_5,Morph_60,Recording_number_1109,Body_part_10,Contact_recipient_3,NA,NA
Gesture_record_68,Morph_54,Recording_number_1954,Body_part_16,NA,NA,NA
Gesture_record_68,Morph_54,Recording_number_153,Body_part_16,NA,NA,NA
Gesture_record_49,Morph_29,Recording_number_3009,Body_part_16,Contact_recipient_2,Lateral_use_2,Repetition_2
Gesture_record_68,Morph_54,Recording_number_1934,Body_part_16,NA,NA,NA
Gesture_record_25,Morph_81,Recording_number_2288,Body_part_14,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_3,Morph_73,Recording_number_49,Body_part_16,Contact_recipient_3,Lateral_use_1,NA
Gesture_record_45,Morph_85,Recording_number_156,Body_part_2,Contact_recipient_2,NA,NA
Gesture_record_67,Morph_43,Recording_number_2322,Body_part_16,NA,Lateral_use_1,Repetition_2
Gesture_record_67,Morph_58,Recording_number_3190,Body_part_16,NA,Lateral_use_1,Repetition_3
Gesture_record_67,Morph_43,Recording_number_2810,Body_part_16,NA,Lateral_use_1,Repetition_2
Gesture_record_45,Morph_72,Recording_number_2218,Body_part_15,Contact_recipient_6,NA,NA
Gesture_record_25,Morph_81,Recording_number_292,Body_part_15,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_18,Morph_100,Recording_number_148,Body_part_5,NA,NA,NA
Gesture_record_68,Morph_54,Recording_number_2767,Body_part_16,NA,NA,NA
Gesture_record_37,Morph_110,Recording_number_2237,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_34,Morph_112,Recording_number_1863,Body_part_12,NA,NA,NA
Gesture_record_24,Morph_69,Recording_number_3099,Body_part_12,NA,NA,NA
Gesture_record_24,Morph_69,Recording_number_2654,Body_part_12,NA,NA,NA
Gesture_record_68,Morph_117,Recording_number_2693,Body_part_4,NA,NA,NA
Gesture_record_28,Morph_38,Recording_number_1110,Body_part_14,NA,NA,NA
Gesture_record_40,Morph_1,Recording_number_2298,Body_part_12,NA,NA,NA
Gesture_record_74,Morph_107,Recording_number_169,Body_part_16,NA,NA,NA
Gesture_record_28,Morph_38,Recording_number_907,Body_part_14,NA,NA,NA
Gesture_record_25,Morph_78,Recording_number_732,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_18,Morph_100,Recording_number_2598,Body_part_5,NA,NA,NA
Gesture_record_3,Morph_5,Recording_number_2505,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_33,Morph_98,Recording_number_919,Body_part_6,Contact_recipient_6,NA,NA
Gesture_record_65,Morph_2,Recording_number_2163,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_37,Morph_110,Recording_number_1803,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_42,Morph_92,Recording_number_1939,Body_part_16,NA,NA,NA
Gesture_record_69,Morph_16,Recording_number_2780,Body_part_15,Contact_recipient_2,Lateral_use_1,Repetition_2
Gesture_record_18,Morph_96,Recording_number_1237,Body_part_3,NA,NA,NA
Gesture_record_25,Morph_82,Recording_number_1316,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_37,Morph_110,Recording_number_985,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_45,Morph_80,Recording_number_2486,Body_part_16,Contact_recipient_6,NA,NA
Gesture_record_41,Morph_32,Recording_number_1851,Body_part_16,Contact_recipient_6,NA,NA
Gesture_record_42,Morph_92,Recording_number_625,Body_part_16,NA,NA,NA
Gesture_record_41,NA,Recording_number_542,Body_part_15,Contact_recipient_6,NA,NA
Gesture_record_65,Morph_2,Recording_number_2747,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_3,Morph_5,Recording_number_1493,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_25,Morph_55,Recording_number_1900,Body_part_15,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_30,Morph_119,Recording_number_917,Body_part_12,NA,NA,NA
Gesture_record_49,Morph_118,Recording_number_3014,Body_part_16,Contact_recipient_1,Lateral_use_1,Repetition_2
Gesture_record_25,Morph_82,Recording_number_1129,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_3,Morph_124,Recording_number_1226,Body_part_15,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_25,Morph_122,Recording_number_2136,Body_part_16,Contact_recipient_3,Lateral_use_1,NA
Gesture_record_31,Morph_83,Recording_number_1975,Body_part_12,NA,NA,NA
Gesture_record_67,Morph_43,Recording_number_2439,Body_part_16,NA,Lateral_use_1,Repetition_2
Gesture_record_3,Morph_5,Recording_number_398,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_3,Morph_5,Recording_number_2316,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_43,Morph_93,Recording_number_1717,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_45,Morph_85,Recording_number_2867,Body_part_2,Contact_recipient_2,NA,NA
Gesture_record_18,Morph_96,Recording_number_1546,Body_part_3,NA,NA,NA
Gesture_record_15,Morph_25,Recording_number_1625,Body_part_12,Contact_recipient_7,NA,NA
Gesture_record_25,Morph_63,Recording_number_2085,Body_part_2,Contact_recipient_7,Lateral_use_1,NA
Gesture_record_18,Morph_111,Recording_number_2754,Body_part_17,NA,NA,NA
Gesture_record_37,Morph_110,Recording_number_2211,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_37,Morph_110,Recording_number_1819,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_3,Morph_5,Recording_number_2094,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_45,Morph_72,Recording_number_859,Body_part_15,Contact_recipient_6,NA,NA
Gesture_record_5,Morph_60,Recording_number_1488,Body_part_10,Contact_recipient_3,NA,NA
Gesture_record_5,Morph_60,Recording_number_868,Body_part_10,Contact_recipient_3,NA,NA
Gesture_record_5,Morph_14,Recording_number_376,Body_part_10,Contact_recipient_4,NA,NA
Gesture_record_3,Morph_73,Recording_number_2869,Body_part_16,Contact_recipient_3,Lateral_use_1,NA
Gesture_record_33,Morph_6,Recording_number_280,Body_part_6,Contact_recipient_7,NA,NA
Gesture_record_22,Morph_47,Recording_number_2982,Body_part_14,NA,Lateral_use_1,Repetition_2
Gesture_record_27,Morph_13,Recording_number_2804,Body_part_12,NA,NA,NA
Gesture_record_69,NA,Recording_number_981,Body_part_15,Contact_recipient_6,Lateral_use_2,Repetition_3
Gesture_record_5,Morph_60,Recording_number_1428,Body_part_10,Contact_recipient_3,NA,NA
Gesture_record_5,Morph_60,Recording_number_715,Body_part_10,Contact_recipient_3,NA,NA
Gesture_record_42,Morph_92,Recording_number_1249,Body_part_16,NA,NA,NA
Gesture_record_45,Morph_72,Recording_number_2254,Body_part_2,Contact_recipient_6,NA,NA
Gesture_record_45,Morph_72,Recording_number_1372,Body_part_15,Contact_recipient_6,NA,NA
Gesture_record_8,Morph_126,Recording_number_1825,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_45,Morph_80,Recording_number_605,Body_part_16,Contact_recipient_6,NA,NA
Gesture_record_61,Morph_62,Recording_number_1828,Body_part_14,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_4,Morph_37,Recording_number_2966,Body_part_12,NA,NA,NA
Gesture_record_41,Morph_103,Recording_number_2732,Body_part_2,Contact_recipient_6,NA,NA
Gesture_record_24,Morph_69,Recording_number_2813,Body_part_12,NA,NA,NA
Gesture_record_40,Morph_1,Recording_number_647,Body_part_12,NA,NA,NA
Gesture_record_42,Morph_92,Recording_number_3144,Body_part_16,NA,NA,NA
Gesture_record_3,Morph_73,Recording_number_1797,Body_part_16,Contact_recipient_3,Lateral_use_1,NA
Gesture_record_58,Morph_31,Recording_number_159,Body_part_14,NA,Lateral_use_1,NA
Gesture_record_25,Morph_78,Recording_number_928,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_25,Morph_82,Recording_number_978,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_45,Morph_85,Recording_number_2983,Body_part_15,Contact_recipient_2,NA,NA
Gesture_record_45,Morph_80,Recording_number_653,Body_part_16,Contact_recipient_6,NA,NA
Gesture_record_3,Morph_114,Recording_number_1402,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_42,Morph_92,Recording_number_1078,Body_part_16,NA,NA,NA
Gesture_record_25,Morph_82,Recording_number_2562,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_58,Morph_31,Recording_number_2588,Body_part_14,NA,Lateral_use_1,NA
Gesture_record_37,Morph_110,Recording_number_2435,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_22,Morph_47,Recording_number_2977,Body_part_14,NA,Lateral_use_1,Repetition_3
Gesture_record_34,Morph_112,Recording_number_1647,Body_part_12,NA,NA,NA
Gesture_record_41,Morph_34,Recording_number_3037,Body_part_14,Contact_recipient_6,NA,NA
Gesture_record_37,Morph_110,Recording_number_2795,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_73,Morph_91,Recording_number_1846,Body_part_16,NA,Lateral_use_1,NA
Gesture_record_49,Morph_118,Recording_number_1162,Body_part_16,Contact_recipient_7,Lateral_use_1,Repetition_2
Gesture_record_58,Morph_31,Recording_number_2675,Body_part_14,NA,Lateral_use_1,NA
Gesture_record_72,Morph_74,Recording_number_1433,Body_part_12,NA,NA,NA
Gesture_record_65,Morph_21,Recording_number_620,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_25,NA,Recording_number_2250,Body_part_4,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_31,Morph_83,Recording_number_2121,Body_part_12,NA,NA,NA
Gesture_record_45,Morph_80,Recording_number_335,Body_part_16,Contact_recipient_6,NA,NA
Gesture_record_45,Morph_85,Recording_number_1271,Body_part_16,Contact_recipient_2,NA,NA
Gesture_record_40,Morph_1,Recording_number_2179,Body_part_12,NA,NA,NA
Gesture_record_25,Morph_108,Recording_number_1174,Body_part_6,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_42,Morph_92,Recording_number_1085,Body_part_16,NA,NA,NA
Gesture_record_3,Morph_73,Recording_number_1044,Body_part_16,Contact_recipient_3,Lateral_use_1,NA
Gesture_record_54,Morph_67,Recording_number_682,Body_part_15,Contact_recipient_5,Lateral_use_1,NA
Gesture_record_8,Morph_126,Recording_number_983,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_57,Morph_20,Recording_number_529,Body_part_10,Contact_recipient_3,NA,NA
Gesture_record_18,Morph_100,Recording_number_82,Body_part_5,NA,NA,NA
Gesture_record_25,NA,Recording_number_1235,Body_part_16,Contact_recipient_1,Lateral_use_1,NA
Gesture_record_25,Morph_55,Recording_number_2321,Body_part_15,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_3,Morph_5,Recording_number_94,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_42,Morph_92,Recording_number_2378,Body_part_16,NA,NA,NA
Gesture_record_25,Morph_78,Recording_number_933,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_67,Morph_58,Recording_number_1714,Body_part_16,NA,Lateral_use_1,Repetition_3
Gesture_record_3,Morph_5,Recording_number_2227,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_25,Morph_55,Recording_number_2035,Body_part_15,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_25,Morph_55,Recording_number_2352,Body_part_15,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_45,Morph_80,Recording_number_2978,Body_part_16,Contact_recipient_6,NA,NA
Gesture_record_61,Morph_101,Recording_number_954,Body_part_14,Contact_recipient_6,Lateral_use_2,NA
Gesture_record_45,Morph_80,Recording_number_1860,Body_part_16,Contact_recipient_6,NA,NA
Gesture_record_30,Morph_119,Recording_number_473,Body_part_12,NA,NA,NA
Gesture_record_49,Morph_15,Recording_number_1370,Body_part_5,Contact_recipient_6,Lateral_use_1,Repetition_2
Gesture_record_68,Morph_54,Recording_number_829,Body_part_16,NA,NA,NA
Gesture_record_18,Morph_121,Recording_number_1255,Body_part_12,NA,NA,NA
Gesture_record_65,Morph_21,Recording_number_1390,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_58,Morph_31,Recording_number_2774,Body_part_14,NA,Lateral_use_1,NA
Gesture_record_37,Morph_110,Recording_number_2156,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_67,Morph_58,Recording_number_2707,Body_part_16,NA,Lateral_use_1,Repetition_3
Gesture_record_68,Morph_54,Recording_number_601,Body_part_16,NA,NA,NA
Gesture_record_73,Morph_91,Recording_number_2666,Body_part_16,NA,Lateral_use_1,NA
Gesture_record_50,Morph_68,Recording_number_2151,Body_part_16,NA,NA,NA
Gesture_record_61,Morph_62,Recording_number_755,Body_part_14,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_61,Morph_62,Recording_number_1282,Body_part_14,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_61,Morph_62,Recording_number_1208,Body_part_14,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_65,Morph_2,Recording_number_843,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_43,Morph_93,Recording_number_1414,Body_part_1,NA,Lateral_use_2,Repetition_3
Gesture_record_73,Morph_91,Recording_number_1823,Body_part_16,NA,Lateral_use_1,NA
Gesture_record_27,Morph_13,Recording_number_197,Body_part_12,NA,NA,NA
Gesture_record_27,Morph_13,Recording_number_1678,Body_part_12,NA,NA,NA
Gesture_record_40,Morph_1,Recording_number_1216,Body_part_12,NA,NA,NA
Gesture_record_45,Morph_80,Recording_number_2794,Body_part_16,Contact_recipient_6,NA,NA
Gesture_record_57,NA,Recording_number_1217,Body_part_10,Contact_recipient_7,NA,NA
Gesture_record_49,Morph_99,Recording_number_1449,Body_part_16,Contact_recipient_7,Lateral_use_2,Repetition_3
Gesture_record_57,NA,Recording_number_1930,Body_part_10,Contact_recipient_7,NA,NA
Gesture_record_67,Morph_23,Recording_number_1073,Body_part_16,NA,Lateral_use_2,Repetition_2
Gesture_record_67,Morph_12,Recording_number_2508,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_18,Morph_96,Recording_number_1046,Body_part_3,NA,NA,NA
Gesture_record_45,Morph_80,Recording_number_1401,Body_part_16,Contact_recipient_6,NA,NA
Gesture_record_3,Morph_114,Recording_number_132,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_49,Morph_99,Recording_number_1603,Body_part_16,Contact_recipient_7,Lateral_use_2,Repetition_3
Gesture_record_54,Morph_67,Recording_number_187,Body_part_15,Contact_recipient_7,Lateral_use_1,NA
Gesture_record_74,Morph_26,Recording_number_2101,Body_part_14,NA,NA,NA
Gesture_record_26,Morph_41,Recording_number_3119,Body_part_4,NA,Lateral_use_1,Repetition_2
Gesture_record_26,Morph_57,Recording_number_2685,Body_part_6,NA,Lateral_use_1,Repetition_2
Gesture_record_8,Morph_126,Recording_number_1083,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_3,Morph_114,Recording_number_2885,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_8,Morph_126,Recording_number_2730,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_25,Morph_82,Recording_number_2750,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_42,Morph_92,Recording_number_3116,Body_part_16,NA,NA,NA
Gesture_record_45,Morph_85,Recording_number_2135,Body_part_2,Contact_recipient_2,NA,NA
Gesture_record_45,Morph_85,Recording_number_228,Body_part_6,Contact_recipient_2,NA,NA
Gesture_record_3,Morph_5,Recording_number_2041,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_55,Morph_90,Recording_number_1593,Body_part_12,NA,NA,NA
Gesture_record_67,Morph_43,Recording_number_1684,Body_part_16,NA,Lateral_use_1,Repetition_2
Gesture_record_36,Morph_53,Recording_number_1929,Body_part_12,NA,NA,NA
Gesture_record_35,Morph_125,Recording_number_1563,Body_part_12,NA,NA,NA
Gesture_record_75,Morph_123,Recording_number_1198,Body_part_12,NA,NA,Repetition_2
Gesture_record_68,Morph_117,Recording_number_3,Body_part_14,NA,NA,NA
Gesture_record_25,Morph_82,Recording_number_607,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_37,Morph_110,Recording_number_2751,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_36,Morph_53,Recording_number_2450,Body_part_12,NA,NA,NA
Gesture_record_37,Morph_110,Recording_number_2186,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_25,Morph_55,Recording_number_481,Body_part_15,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_49,Morph_118,Recording_number_1960,Body_part_16,Contact_recipient_6,Lateral_use_1,Repetition_2
Gesture_record_25,NA,Recording_number_767,Body_part_1,Contact_recipient_1,Lateral_use_1,NA
Gesture_record_67,Morph_12,Recording_number_821,Body_part_8,NA,Lateral_use_2,Repetition_3
Gesture_record_15,Morph_61,Recording_number_2917,Body_part_12,Contact_recipient_6,NA,NA
Gesture_record_42,Morph_92,Recording_number_1990,Body_part_16,NA,NA,NA
Gesture_record_45,Morph_85,Recording_number_2717,Body_part_2,Contact_recipient_2,NA,NA
Gesture_record_8,Morph_88,Recording_number_1774,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_3,Morph_5,Recording_number_708,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_42,Morph_92,Recording_number_1499,Body_part_16,NA,NA,NA
Gesture_record_45,NA,Recording_number_2953,Body_part_5,Contact_recipient_6,NA,NA
Gesture_record_3,Morph_114,Recording_number_1192,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_42,Morph_92,Recording_number_2544,Body_part_16,NA,NA,NA
Gesture_record_68,Morph_54,Recording_number_2266,Body_part_16,NA,NA,NA
Gesture_record_42,Morph_92,Recording_number_2380,Body_part_16,NA,NA,NA
Gesture_record_68,Morph_54,Recording_number_110,Body_part_16,NA,NA,NA
Gesture_record_45,Morph_28,Recording_number_1143,Body_part_14,Contact_recipient_7,NA,NA
Gesture_record_18,Morph_121,Recording_number_619,Body_part_12,NA,NA,NA
Gesture_record_68,Morph_54,Recording_number_727,Body_part_16,NA,NA,NA
Gesture_record_8,Morph_126,Recording_number_3096,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_61,Morph_62,Recording_number_27,Body_part_14,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_43,Morph_93,Recording_number_1250,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_40,Morph_1,Recording_number_592,Body_part_12,NA,NA,NA
Gesture_record_71,NA,Recording_number_1134,Body_part_6,NA,NA,NA
Gesture_record_49,Morph_15,Recording_number_1753,Body_part_6,Contact_recipient_3,Lateral_use_1,Repetition_2
Gesture_record_33,Morph_6,Recording_number_2972,Body_part_6,Contact_recipient_3,NA,NA
Gesture_record_3,Morph_73,Recording_number_527,Body_part_16,Contact_recipient_3,Lateral_use_1,NA
Gesture_record_3,Morph_5,Recording_number_2918,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_23,Morph_94,Recording_number_1341,Body_part_10,NA,NA,NA
Gesture_record_73,NA,Recording_number_1363,Body_part_16,NA,Lateral_use_3,NA
Gesture_record_3,Morph_5,Recording_number_2826,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_3,Morph_5,Recording_number_870,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_18,Morph_111,Recording_number_1793,Body_part_14,NA,NA,NA
Gesture_record_58,Morph_31,Recording_number_267,Body_part_14,NA,Lateral_use_1,NA
Gesture_record_25,Morph_75,Recording_number_1389,Body_part_2,Contact_recipient_3,Lateral_use_1,NA
Gesture_record_37,Morph_110,Recording_number_2541,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_25,Morph_122,Recording_number_1871,Body_part_16,Contact_recipient_3,Lateral_use_1,NA
Gesture_record_25,Morph_78,Recording_number_1391,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_68,Morph_54,Recording_number_2148,Body_part_16,NA,NA,NA
Gesture_record_3,Morph_114,Recording_number_1734,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_3,Morph_114,Recording_number_1020,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_69,Morph_16,Recording_number_2651,Body_part_15,Contact_recipient_3,Lateral_use_1,Repetition_3
Gesture_record_45,Morph_28,Recording_number_1236,Body_part_15,Contact_recipient_3,NA,NA
Gesture_record_37,Morph_110,Recording_number_2552,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_24,Morph_69,Recording_number_281,Body_part_12,NA,NA,NA
Gesture_record_45,Morph_80,Recording_number_1535,Body_part_16,Contact_recipient_6,NA,NA
Gesture_record_42,Morph_92,Recording_number_2584,Body_part_16,NA,NA,NA
Gesture_record_37,Morph_110,Recording_number_1616,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_37,Morph_110,Recording_number_2576,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_37,Morph_110,Recording_number_1779,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_17,Morph_52,Recording_number_2872,Body_part_12,NA,NA,NA
Gesture_record_45,Morph_85,Recording_number_1248,Body_part_15,Contact_recipient_2,NA,NA
Gesture_record_45,Morph_85,Recording_number_743,Body_part_2,Contact_recipient_2,NA,NA
Gesture_record_54,Morph_105,Recording_number_2243,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_54,Morph_120,Recording_number_3132,Body_part_15,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_49,Morph_118,Recording_number_2389,Body_part_16,Contact_recipient_7,Lateral_use_1,Repetition_2
Gesture_record_49,Morph_118,Recording_number_1671,Body_part_16,Contact_recipient_7,Lateral_use_1,Repetition_2
Gesture_record_49,Morph_118,Recording_number_659,Body_part_16,Contact_recipient_7,Lateral_use_1,Repetition_2
Gesture_record_25,Morph_75,Recording_number_925,Body_part_14,Contact_recipient_3,Lateral_use_1,NA
Gesture_record_67,Morph_12,Recording_number_3174,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_27,Morph_13,Recording_number_2423,Body_part_12,NA,NA,NA
Gesture_record_36,Morph_53,Recording_number_1710,Body_part_12,NA,NA,NA
Gesture_record_67,NA,Recording_number_1885,Body_part_16,NA,Lateral_use_3,Repetition_3
Gesture_record_73,Morph_91,Recording_number_158,Body_part_16,NA,Lateral_use_1,NA
Gesture_record_25,Morph_122,Recording_number_1643,Body_part_16,Contact_recipient_3,Lateral_use_1,NA
Gesture_record_67,Morph_12,Recording_number_1251,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_67,Morph_12,Recording_number_2602,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_25,Morph_122,Recording_number_2958,Body_part_16,Contact_recipient_3,Lateral_use_1,NA
Gesture_record_65,Morph_76,Recording_number_98,Body_part_16,Contact_recipient_3,Lateral_use_1,NA
Gesture_record_65,Morph_21,Recording_number_820,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_25,Morph_78,Recording_number_3153,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_18,Morph_111,Recording_number_1333,Body_part_11,NA,NA,NA
Gesture_record_15,Morph_27,Recording_number_427,Body_part_11,Contact_recipient_6,NA,NA
Gesture_record_67,Morph_23,Recording_number_2731,Body_part_16,NA,Lateral_use_2,Repetition_2
Gesture_record_31,Morph_83,Recording_number_1790,Body_part_12,NA,NA,NA
Gesture_record_72,Morph_74,Recording_number_1121,Body_part_12,NA,NA,NA
Gesture_record_68,Morph_54,Recording_number_1141,Body_part_16,NA,NA,NA
Gesture_record_15,Morph_61,Recording_number_646,Body_part_12,Contact_recipient_6,NA,NA
Gesture_record_41,Morph_42,Recording_number_826,Body_part_4,Contact_recipient_2,NA,NA
Gesture_record_61,Morph_62,Recording_number_2839,Body_part_14,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_37,Morph_110,Recording_number_938,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_49,Morph_29,Recording_number_2473,Body_part_16,Contact_recipient_2,Lateral_use_2,Repetition_2
